ID,Confidence,R.A.,Decl.,D,Teff,logg,[Fe/H],Source
31398,0.822754,173.2828509,24.40717227,60782.78029,,,,
31399,0.636719,131.3173271,15.68846571,,,,,
31400,0.870117,131.2298564,15.82547445,47689.39947,8872.619159,3.673955372,-1.671613766,
31401,0.942871,136.3765572,17.50323853,34211.44003,,,,
31402,0.725586,136.8111255,17.71095898,,,,,
31403,0.900391,136.8585645,17.69351016,,,,,
31404,0.809082,140.1605191,18.54936137,46812.3988,,,,
31405,0.816406,140.5993827,18.65443949,55258.75273,,,,
31406,0.674805,146.2191008,20.2089138,,,,,
31407,0.82666,146.1448424,20.37764853,57755.38676,,,,
31408,0.925781,146.7779452,20.48303528,37092.91893,,,,
31409,0.811035,147.5704065,20.5594377,48323.87592,,,,
31410,0.831543,151.8662269,21.64128629,7757.863889,,,,
31411,0.939453,155.2547034,22.30073132,35108.68738,,,,
31412,0.86377,157.4784856,22.76976649,53323.31663,,,,
31413,0.92627,157.4647661,22.76287591,22887.00855,,,,
31414,0.884277,160.85273,23.29155708,18018.33501,8709.62738,3.41881717,-1.588737408,
31415,0.737305,166.7246052,24.14571708,79634.73124,,,,
31416,0.853027,167.730237,24.23507408,56421.37586,,,,
31417,0.619629,169.0061242,24.46665922,,,,,
31418,0.661621,170.6161342,24.72831938,9079.742173,10857.9,4.814661,-0.542499,
31419,0.619141,133.3771645,17.0084262,56224.15363,,,,
31420,0.667969,134.7158966,17.34868974,82703.98544,,,,
31421,0.850586,146.9957807,20.91328495,67016.29449,,,,
31422,0.908203,149.0695121,21.44960975,24580.98747,,,,
31423,0.675293,150.2197654,21.72326318,6057.089327,8665.9,3.198985,-1.362093,N
31424,0.924316,152.2250236,22.082253,36623.99306,,,,
31425,0.932617,153.8169006,22.46370765,11277.39503,8758.4,4.171462,-1.127906,
31426,0.661133,160.0642395,23.77322376,38770.40845,,,,
31427,0.948242,163.247107,24.19582172,17956.04517,,,,
31428,0.911621,165.8176602,24.46046715,20367.01492,43237.8,3.134545,-1.536214,N
31429,0.781738,168.3866987,24.79652541,14284.4369,7673.4,3.039094,-2.416157,
31430,0.805664,172.7984151,25.33037795,23680.34064,,,,
31431,0.829102,172.7435067,25.15605038,44367.14831,,,,
31432,0.703613,140.5866826,19.60974183,67281.19432,,,,
31433,0.935059,140.8937027,19.7194256,31717.50615,,,,
31434,0.900391,151.3606718,22.39354944,48136.3704,,,,
31435,0.837891,154.5629803,23.13360513,66712.11248,,,,
31436,0.885254,158.5916862,23.83561547,11280.27824,8630.5,3.069998,-1.402765,
31437,0.92041,162.8945602,24.45843003,28960.7515,,,,
31438,0.914551,119.8030371,9.72088336,16845.15522,,,,
31439,0.818848,122.3362212,10.76316283,15823.11781,,,,
31440,0.849121,124.5795764,11.64865261,20915.29371,,,,
31441,0.669922,125.3110267,12.05727597,6022.088404,,,,
31442,0.844727,125.3521101,11.9298619,18285.25718,,,,
31443,0.679199,125.7827763,12.13757929,11171.21215,,,,
31444,0.914062,125.7181949,12.13599304,16980.46583,,,,
31445,0.953613,128.957293,13.38728019,16496.3457,,,,
31446,0.808594,130.476447,13.82748045,,,,,
31447,0.887207,136.4258353,15.85687835,14181.48324,,,,
31448,0.88623,136.8005563,16.07456033,44236.80717,,,,
31449,0.867676,137.6315084,16.27815167,11571.99188,,,,
31450,0.943848,138.9215198,16.71661382,15871.92142,28280.2,3.904424,-2.85894,
31451,0.645508,139.8758739,17.01239563,80178.12519,,,,
31452,0.860352,139.8197208,16.89838398,43445.63762,,,,
31453,0.703125,146.1001596,18.82945395,42030.46133,,,,
31454,0.835938,146.1146076,18.70413184,,,,,
31455,0.852051,149.1348777,19.61892256,19794.98579,,,,
31456,0.914551,149.0935779,19.41632036,34457.5709,,,,
31457,0.850586,151.1811256,19.93164243,52808.84825,,,,
31458,0.863281,153.5840002,20.46610793,,9031.443787,3.67211229,-1.58141263,
31459,0.868164,153.5123255,20.60055554,36634.25746,,,,
31460,0.684082,156.1421942,21.14663525,38826.92985,,,,
31461,0.740723,156.2938458,21.13218787,73223.20348,,,,
31462,0.796387,156.4452948,21.06069825,68740.13069,,,,
